Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
D1,22/08/2025,19:30,Bayern Munich,RB Leipzig,6,0,H,3,0,H,,19,12,10,1,5,5,4,1,0,0,,,D1,2526
D1,23/08/2025,14:30,Ein Frankfurt,Werder Bremen,4,1,H,2,0,H,,18,10,5,5,7,1,1,3,0,0,,,D1,2526
D1,23/08/2025,14:30,Freiburg,Augsburg,1,3,A,0,3,A,,16,14,4,5,5,5,4,5,0,0,,,D1,2526
D1,23/08/2025,14:30,Heidenheim,Wolfsburg,1,3,A,1,1,D,,7,15,2,5,2,5,2,3,0,0,,,D1,2526
D1,23/08/2025,14:30,Leverkusen,Hoffenheim,1,2,A,1,1,D,,7,10,2,5,6,4,0,4,0,0,,,D1,2526
D1,23/08/2025,14:30,Union Berlin,Stuttgart,2,1,H,2,0,H,,8,21,2,6,5,11,4,4,0,0,,,D1,2526
D1,23/08/2025,17:30,St Pauli,Dortmund,3,3,D,0,1,A,,11,8,7,7,5,2,2,3,0,1,,,D1,2526
D1,24/08/2025,14:30,Mainz,FC Koln,0,1,A,0,0,D,,19,12,2,2,8,3,0,2,1,0,,,D1,2526
D1,24/08/2025,16:30,M'gladbach,Hamburg,0,0,D,0,0,D,,17,7,4,2,7,6,2,1,0,0,,,D1,2526
D1,29/08/2025,19:30,Hamburg,St Pauli,0,2,A,0,1,A,,5,17,2,6,2,5,3,3,1,0,,,D1,2526
D1,30/08/2025,14:30,Hoffenheim,Ein Frankfurt,1,3,A,0,2,A,,17,9,5,6,4,5,2,3,0,0,,,D1,2526
D1,30/08/2025,14:30,RB Leipzig,Heidenheim,2,0,H,0,0,D,,19,5,5,3,4,3,2,5,0,0,,,D1,2526
D1,30/08/2025,14:30,Stuttgart,M'gladbach,1,0,H,0,0,D,,13,15,5,6,6,10,2,1,0,0,,,D1,2526
D1,30/08/2025,14:30,Werder Bremen,Leverkusen,3,3,D,1,2,A,,12,10,5,4,3,7,4,3,1,0,,,D1,2526
D1,30/08/2025,17:30,Augsburg,Bayern Munich,2,3,A,0,2,A,,10,20,3,10,7,5,3,4,0,0,,,D1,2526
D1,31/08/2025,14:30,Wolfsburg,Mainz,1,1,D,1,0,H,,11,17,3,3,3,10,3,5,1,0,,,D1,2526
D1,31/08/2025,16:30,Dortmund,Union Berlin,3,0,H,1,0,H,,11,12,6,3,4,6,0,0,0,0,,,D1,2526
D1,31/08/2025,18:30,FC Koln,Freiburg,4,1,H,1,0,H,,18,12,6,2,3,5,2,1,0,0,,,D1,2526
D1,12/09/2025,19:30,Leverkusen,Ein Frankfurt,3,1,H,2,0,H,,18,13,8,2,4,8,5,3,2,0,,,D1,2526
D1,13/09/2025,14:30,Freiburg,Stuttgart,3,1,H,0,1,A,,14,7,6,2,7,1,1,1,1,0,,,D1,2526
D1,13/09/2025,14:30,Heidenheim,Dortmund,0,2,A,0,2,A,,6,17,1,8,5,4,2,3,1,0,,,D1,2526
D1,13/09/2025,14:30,Mainz,RB Leipzig,0,1,A,0,1,A,,13,19,2,3,3,5,1,0,0,0,,,D1,2526
D1,13/09/2025,14:30,Union Berlin,Hoffenheim,2,4,A,0,2,A,,20,9,7,8,9,2,1,1,1,0,,,D1,2526
D1,13/09/2025,14:30,Wolfsburg,FC Koln,3,3,D,1,1,D,,14,14,6,8,7,4,2,3,0,0,,,D1,2526
D1,13/09/2025,17:30,Bayern Munich,Hamburg,5,0,H,4,0,H,,22,9,12,2,5,3,2,2,0,0,,,D1,2526
D1,14/09/2025,14:30,St Pauli,Augsburg,2,1,H,1,1,D,,13,10,7,5,3,1,1,4,0,0,,,D1,2526
D1,14/09/2025,16:30,M'gladbach,Werder Bremen,0,4,A,0,2,A,,19,12,3,7,9,4,1,0,0,0,,,D1,2526
D1,19/09/2025,19:30,Stuttgart,St Pauli,2,0,H,1,0,H,,17,9,8,2,8,4,0,2,0,0,,,D1,2526
D1,20/09/2025,14:30,Augsburg,Mainz,1,4,A,0,2,A,,18,12,5,4,6,6,1,2,0,1,,,D1,2526
D1,20/09/2025,14:30,Hamburg,Heidenheim,2,1,H,1,0,H,,22,20,9,8,1,12,5,1,0,0,,,D1,2526
D1,20/09/2025,14:30,Hoffenheim,Bayern Munich,1,4,A,0,1,A,,12,18,4,10,5,5,1,2,0,0,,,D1,2526
D1,20/09/2025,14:30,Werder Bremen,Freiburg,0,3,A,0,1,A,,12,10,5,5,2,0,5,2,0,0,,,D1,2526
D1,20/09/2025,17:30,RB Leipzig,FC Koln,3,1,H,3,1,H,,18,13,8,2,9,5,1,1,0,0,,,D1,2526
D1,21/09/2025,14:30,Ein Frankfurt,Union Berlin,3,4,A,1,2,A,,19,11,10,5,5,1,3,2,0,0,,,D1,2526
D1,21/09/2025,16:30,Leverkusen,M'gladbach,1,1,D,0,0,D,,13,13,9,7,3,4,5,5,0,0,,,D1,2526
D1,21/09/2025,18:30,Dortmund,Wolfsburg,1,0,H,1,0,H,,12,10,4,1,9,3,1,0,0,0,,,D1,2526
D1,26/09/2025,19:30,Bayern Munich,Werder Bremen,4,0,H,2,0,H,,26,9,13,3,7,6,2,0,0,0,,,D1,2526
D1,27/09/2025,14:30,Heidenheim,Augsburg,2,1,H,0,0,D,,11,8,5,2,3,2,1,6,0,0,,,D1,2526
D1,27/09/2025,14:30,Mainz,Dortmund,0,2,A,0,2,A,,8,10,2,4,7,5,2,1,1,0,,,D1,2526
D1,27/09/2025,14:30,St Pauli,Leverkusen,1,2,A,1,1,D,,13,5,6,4,13,1,3,5,0,0,,,D1,2526
D1,27/09/2025,14:30,Wolfsburg,RB Leipzig,0,1,A,0,1,A,,22,20,4,6,6,11,2,2,0,0,,,D1,2526
D1,27/09/2025,17:30,M'gladbach,Ein Frankfurt,4,6,A,0,5,A,,11,21,8,7,4,6,1,2,0,0,,,D1,2526
D1,28/09/2025,14:30,Freiburg,Hoffenheim,1,1,D,1,1,D,,6,15,1,4,6,8,3,1,0,0,,,D1,2526
D1,28/09/2025,16:30,FC Koln,Stuttgart,1,2,A,1,1,D,,14,15,6,5,8,8,2,2,0,0,,,D1,2526
D1,28/09/2025,18:30,Union Berlin,Hamburg,0,0,D,0,0,D,,11,16,2,6,5,3,2,2,0,1,,,D1,2526
D1,03/10/2025,19:30,Hoffenheim,FC Koln,0,1,A,0,1,A,,15,10,4,4,11,6,3,1,0,0,,,D1,2526
D1,04/10/2025,14:30,Augsburg,Wolfsburg,3,1,H,1,0,H,,10,14,5,4,10,5,2,1,0,0,,,D1,2526
D1,04/10/2025,14:30,Dortmund,RB Leipzig,1,1,D,1,1,D,,15,13,3,3,7,7,1,3,0,0,,,D1,2526
D1,04/10/2025,14:30,Leverkusen,Union Berlin,2,0,H,1,0,H,,20,10,3,3,4,4,1,3,0,0,,,D1,2526
D1,04/10/2025,14:30,Werder Bremen,St Pauli,1,0,H,1,0,H,,15,13,5,3,4,1,3,1,0,0,,,D1,2526
