Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,League,Season
E1,08/08/2025,20:00,Birmingham,Ipswich,1,1,D,0,0,D,A Kitchen,11,7,3,1,1,4,2,3,0,0,E1,2526
E1,09/08/2025,12:30,Charlton,Watford,1,0,H,0,0,D,S Martin,12,10,5,1,3,2,1,2,0,0,E1,2526
E1,09/08/2025,12:30,Coventry,Hull,0,0,D,0,0,D,R Madley,18,7,3,3,8,2,3,3,0,0,E1,2526
E1,09/08/2025,12:30,Southampton,Wrexham,2,1,H,0,1,A,J Bell,27,10,10,2,7,4,2,2,0,0,E1,2526
E1,09/08/2025,15:00,Middlesbrough,Swansea,1,0,H,0,0,D,F Hallam,6,3,3,1,7,2,2,5,0,0,E1,2526
E1,09/08/2025,15:00,Norwich,Millwall,1,2,A,0,0,D,A Herczeg,15,15,3,3,6,5,1,4,0,0,E1,2526
E1,09/08/2025,15:00,Oxford,Portsmouth,0,1,A,0,1,A,D Whitestone,18,9,4,4,8,4,1,2,0,0,E1,2526
E1,09/08/2025,15:00,QPR,Preston,1,1,D,1,0,H,O Langford,13,11,3,3,5,4,0,3,0,0,E1,2526
E1,09/08/2025,15:00,Stoke,Derby,3,1,H,0,0,D,E Bell,12,3,7,2,7,3,1,2,0,0,E1,2526
E1,09/08/2025,15:00,West Brom,Blackburn,1,0,H,1,0,H,D Webb,13,10,5,1,3,7,2,0,1,0,E1,2526
E1,09/08/2025,17:30,Sheffield United,Bristol City,1,4,A,1,2,A,J Smith,20,9,6,5,14,3,0,0,0,0,E1,2526
E1,10/08/2025,16:30,Leicester,Sheffield Weds,2,1,H,0,1,A,M Donohue,27,7,13,3,13,3,0,0,0,1,E1,2526
E1,16/08/2025,12:30,Derby,Coventry,3,5,A,2,2,D,A Backhouse,13,20,4,10,6,5,2,5,0,0,E1,2526
E1,16/08/2025,12:30,Portsmouth,Norwich,1,2,A,0,2,A,S Martin,19,11,3,5,9,0,3,3,0,0,E1,2526
E1,16/08/2025,12:30,Wrexham,West Brom,2,3,A,1,1,D,J Busby,15,17,3,5,5,5,2,0,0,0,E1,2526
E1,16/08/2025,15:00,Blackburn,Birmingham,1,2,A,0,0,D,O Langford,5,8,2,4,3,5,1,2,0,0,E1,2526
E1,16/08/2025,15:00,Bristol City,Charlton,0,0,D,0,0,D,B Speedie,14,8,1,2,4,6,0,1,0,0,E1,2526
E1,16/08/2025,15:00,Millwall,Middlesbrough,0,3,A,0,0,D,T Nield,11,12,1,5,6,10,4,5,0,0,E1,2526
E1,16/08/2025,15:00,Preston,Leicester,2,1,H,1,0,H,G Ward,14,14,4,2,6,4,2,0,0,0,E1,2526
E1,16/08/2025,15:00,Sheffield Weds,Stoke,0,3,A,0,1,A,L Smith,15,12,5,6,6,7,0,3,0,0,E1,2526
E1,16/08/2025,15:00,Swansea,Sheffield United,1,0,H,0,0,D,T Kirk,13,8,4,0,4,8,1,3,0,0,E1,2526
E1,16/08/2025,15:00,Watford,QPR,2,1,H,2,1,H,T Harrington,17,13,4,3,2,4,1,2,1,0,E1,2526
E1,17/08/2025,12:00,Ipswich,Southampton,1,1,D,1,1,D,R Madley,14,11,1,3,4,5,2,2,0,0,E1,2526
E1,17/08/2025,15:00,Hull,Oxford,3,2,H,2,2,D,A Kitchen,19,11,7,6,10,4,1,1,0,0,E1,2526
E1,22/08/2025,20:00,Derby,Bristol City,1,1,D,0,1,A,D Webb,5,11,2,3,4,5,3,0,0,0,E1,2526
E1,23/08/2025,12:30,Charlton,Leicester,0,1,A,0,0,D,D Whitestone,20,6,7,2,13,4,2,1,0,0,E1,2526
E1,23/08/2025,12:30,Hull,Blackburn,0,3,A,0,1,A,T Nield,8,14,2,6,2,1,3,3,0,0,E1,2526
E1,23/08/2025,12:30,Swansea,Watford,1,1,D,0,1,A,S Martin,11,9,2,4,7,2,3,5,0,0,E1,2526
E1,23/08/2025,15:00,Birmingham,Oxford,1,0,H,1,0,H,R Jones,16,6,1,1,4,1,0,0,0,0,E1,2526
E1,23/08/2025,15:00,Coventry,QPR,7,1,H,5,0,H,A Herczeg,19,10,8,1,9,4,1,2,0,0,E1,2526
E1,23/08/2025,15:00,Norwich,Middlesbrough,1,2,A,0,2,A,L Doughty,14,11,3,4,5,3,0,3,1,0,E1,2526
E1,23/08/2025,15:00,Preston,Ipswich,1,0,H,1,0,H,M Donohue,2,15,1,2,3,6,6,2,0,0,E1,2526
E1,23/08/2025,15:00,Sheffield United,Millwall,0,1,A,0,1,A,J Busby,14,17,4,6,8,7,3,2,0,0,E1,2526
E1,23/08/2025,15:00,Southampton,Stoke,1,2,A,0,0,D,J Smith,18,12,2,4,7,3,1,3,0,1,E1,2526
E1,23/08/2025,15:00,West Brom,Portsmouth,1,1,D,1,0,H,E Bell,13,8,3,4,2,3,2,5,0,0,E1,2526
E1,23/08/2025,15:00,Wrexham,Sheffield Weds,2,2,D,2,0,H,F Hallam,11,21,4,7,3,9,0,0,0,0,E1,2526
E1,29/08/2025,20:00,Leicester,Birmingham,2,0,H,1,0,H,J Smith,5,11,2,1,1,7,3,3,0,0,E1,2526
E1,30/08/2025,12:30,Middlesbrough,Sheffield United,1,0,H,0,0,D,L Smith,15,8,6,0,5,9,0,3,0,0,E1,2526
E1,30/08/2025,12:30,QPR,Charlton,3,1,H,1,0,H,A Kitchen,13,13,6,3,1,2,2,2,0,0,E1,2526
E1,30/08/2025,12:30,Stoke,West Brom,0,1,A,0,1,A,M Donohue,13,12,3,3,5,5,1,2,0,0,E1,2526
E1,30/08/2025,15:00,Blackburn,Norwich,0,2,A,0,1,A,B Speedie,12,15,3,4,3,9,2,0,1,0,E1,2526
E1,30/08/2025,15:00,Bristol City,Hull,4,2,H,3,1,H,G Ward,29,20,5,9,8,5,1,1,0,0,E1,2526
E1,30/08/2025,15:00,Ipswich,Derby,2,2,D,1,0,H,L Doughty,18,10,5,2,6,3,2,7,0,0,E1,2526
E1,30/08/2025,15:00,Millwall,Wrexham,0,2,A,0,0,D,T Kirk,21,6,2,3,5,2,1,3,0,0,E1,2526
E1,30/08/2025,15:00,Oxford,Coventry,2,2,D,1,2,A,R Ricardo,14,15,3,6,0,5,1,2,0,0,E1,2526
E1,30/08/2025,15:00,Portsmouth,Preston,1,0,H,1,0,H,T Harrington,10,13,2,2,6,4,1,2,0,0,E1,2526
E1,30/08/2025,15:00,Sheffield Weds,Swansea,0,2,A,0,0,D,A Backhouse,9,17,1,8,2,7,0,2,0,0,E1,2526
E1,30/08/2025,15:00,Watford,Southampton,2,2,D,0,1,A,F Hallam,10,12,4,7,4,5,2,5,0,0,E1,2526
E1,12/09/2025,20:00,Ipswich,Sheffield United,5,0,H,1,0,H,F Hallam,21,10,11,2,3,5,0,2,0,0,E1,2526
E1,13/09/2025,12:30,Charlton,Millwall,1,1,D,1,0,H,R Madley,14,15,3,3,3,4,1,1,1,0,E1,2526
E1,13/09/2025,12:30,Oxford,Leicester,2,2,D,2,1,H,B Toner,19,8,2,5,4,4,1,2,0,1,E1,2526
E1,13/09/2025,12:30,Preston,Middlesbrough,2,2,D,1,0,H,T Kirk,7,14,2,3,3,4,1,3,0,0,E1,2526
E1,13/09/2025,15:00,Coventry,Norwich,1,1,D,0,1,A,G Ward,28,4,4,1,11,2,2,6,0,0,E1,2526
E1,13/09/2025,15:00,Sheffield Weds,Bristol City,0,3,A,0,3,A,T Nield,6,9,0,4,4,1,2,0,0,0,E1,2526
E1,13/09/2025,15:00,Stoke,Birmingham,1,0,H,1,0,H,M Salisbury,8,7,3,0,5,3,3,1,0,0,E1,2526
E1,13/09/2025,15:00,Swansea,Hull,2,2,D,1,1,D,D Webb,9,15,2,6,5,2,1,1,0,0,E1,2526
E1,13/09/2025,15:00,Watford,Blackburn,0,1,A,0,0,D,D Whitestone,14,14,1,5,5,7,1,2,0,0,E1,2526
E1,13/09/2025,15:00,West Brom,Derby,0,1,A,0,0,D,R Ricardo,18,4,3,1,11,0,1,2,0,0,E1,2526
E1,13/09/2025,15:00,Wrexham,QPR,1,3,A,0,2,A,B Speedie,21,15,8,6,12,9,1,0,0,0,E1,2526
E1,14/09/2025,12:00,Southampton,Portsmouth,0,0,D,0,0,D,M Donohue,9,10,1,1,7,5,4,2,0,0,E1,2526
E1,19/09/2025,20:00,Middlesbrough,West Brom,2,1,H,1,0,H,A Kitchen,9,15,4,3,2,3,0,0,0,0,E1,2526
E1,20/09/2025,12:30,Birmingham,Swansea,1,0,H,0,0,D,J Busby,23,9,7,2,7,2,5,4,0,0,E1,2526
E1,20/09/2025,12:30,Leicester,Coventry,0,0,D,0,0,D,O Langford,17,11,9,3,10,3,0,3,0,0,E1,2526
E1,20/09/2025,12:30,QPR,Stoke,1,0,H,0,0,D,T Robinson,14,7,7,1,3,6,5,3,0,0,E1,2526
E1,20/09/2025,15:00,Derby,Preston,0,1,A,0,1,A,L Smith,7,10,2,6,3,4,2,2,0,0,E1,2526
E1,20/09/2025,15:00,Hull,Southampton,3,1,H,1,0,H,A Backhouse,11,14,4,4,1,6,5,3,0,0,E1,2526
E1,20/09/2025,15:00,Norwich,Wrexham,2,3,A,1,0,H,D Webb,14,11,5,8,2,3,1,3,0,0,E1,2526
