Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
E3,02/08/2025,15:00,Accrington,Gillingham,1,1,D,0,0,D,O Yates,10,8,3,0,3,3,2,2,0,0,,,E3,2526
E3,02/08/2025,15:00,Barnet,Fleetwood Town,0,2,A,0,1,A,A Bannister,19,12,6,7,8,2,0,0,0,0,,,E3,2526
E3,02/08/2025,15:00,Bristol Rvs,Harrogate,0,1,A,0,0,D,C Brook,17,7,2,3,13,4,1,3,0,0,,,E3,2526
E3,02/08/2025,15:00,Cambridge,Cheltenham,1,0,H,0,0,D,C Hicks,13,7,4,2,4,2,0,2,0,0,,,E3,2526
E3,02/08/2025,15:00,Chesterfield,Barrow,1,0,H,1,0,H,A Young,7,10,3,1,4,3,1,1,0,0,,,E3,2526
E3,02/08/2025,15:00,Colchester,Tranmere,1,1,D,0,1,A,D Rock,10,10,2,2,4,5,2,2,0,0,,,E3,2526
E3,02/08/2025,15:00,Grimsby,Crawley Town,3,0,H,2,0,H,S Jackson,20,5,6,1,10,3,0,2,0,0,,,E3,2526
E3,02/08/2025,15:00,Milton Keynes Dons,Oldham,0,0,D,0,0,D,M Russell,5,5,0,1,7,3,1,3,0,0,,,E3,2526
E3,02/08/2025,15:00,Salford,Crewe,1,3,A,1,3,A,N Hair,11,22,5,10,7,10,4,2,0,0,,,E3,2526
E3,02/08/2025,15:00,Shrewsbury,Bromley,0,0,D,0,0,D,Z Kennard-Kettle,7,17,2,2,4,5,3,1,0,0,,,E3,2526
E3,02/08/2025,15:00,Walsall,Swindon,2,1,H,1,0,H,O Mackey,5,16,4,5,1,5,2,1,1,0,,,E3,2526
E3,02/08/2025,16:00,Newport County,Notts County,1,1,D,0,0,D,P Wright,6,13,1,5,2,6,1,1,0,0,,,E3,2526
E3,09/08/2025,12:30,Notts County,Salford,1,2,A,0,1,A,A Bannister,9,11,3,5,1,7,3,3,0,0,,,E3,2526
E3,09/08/2025,12:30,Tranmere,Shrewsbury,4,0,H,2,0,H,J O'Connor,10,12,6,3,2,5,1,1,0,1,,,E3,2526
E3,09/08/2025,15:00,Barrow,Milton Keynes Dons,0,2,A,0,0,D,M Barlow,7,12,0,5,1,5,3,2,0,0,,,E3,2526
E3,09/08/2025,15:00,Bromley,Barnet,2,0,H,1,0,H,L Swabey,9,10,3,2,6,6,3,1,0,0,,,E3,2526
E3,09/08/2025,15:00,Cheltenham,Chesterfield,0,2,A,0,0,D,B Speedie,6,16,2,8,2,5,7,1,0,0,,,E3,2526
E3,09/08/2025,15:00,Crawley Town,Newport County,1,2,A,0,0,D,J Oldham,18,7,6,3,6,3,0,2,0,0,,,E3,2526
E3,09/08/2025,15:00,Crewe,Accrington,2,0,H,2,0,H,R Eley,15,9,4,3,8,2,1,2,0,0,,,E3,2526
E3,09/08/2025,15:00,Fleetwood Town,Bristol Rvs,2,1,H,2,0,H,S Stockbridge,7,14,3,2,1,6,1,3,0,0,,,E3,2526
E3,09/08/2025,15:00,Gillingham,Walsall,1,0,H,0,0,D,R Martin,8,6,2,2,5,2,3,3,0,0,,,E3,2526
E3,09/08/2025,15:00,Harrogate,Grimsby,3,3,D,0,0,D,W Davis,8,13,3,4,3,4,5,3,0,0,,,E3,2526
E3,09/08/2025,15:00,Oldham,Colchester,1,1,D,1,1,D,C Hicks,20,8,7,3,8,7,1,1,0,0,,,E3,2526
E3,09/08/2025,15:00,Swindon,Cambridge,3,2,H,2,1,H,E Duckworth,9,10,5,4,2,7,2,1,0,0,,,E3,2526
E3,16/08/2025,12:30,Chesterfield,Bristol Rvs,3,1,H,1,0,H,S Mulhall,21,7,10,3,5,4,3,3,0,1,,,E3,2526
E3,16/08/2025,12:30,Oldham,Swindon,1,2,A,1,2,A,G Rollason,13,13,5,3,4,2,0,3,0,0,,,E3,2526
E3,16/08/2025,15:00,Barnet,Walsall,1,2,A,1,2,A,A Byrne,10,6,3,2,7,1,2,0,1,0,,,E3,2526
E3,16/08/2025,15:00,Barrow,Notts County,2,1,H,1,0,H,P Marsden,11,7,5,3,3,3,1,1,0,0,,,E3,2526
E3,16/08/2025,15:00,Bromley,Fleetwood Town,2,2,D,1,1,D,O Mackey,17,14,5,4,7,2,4,2,0,0,,,E3,2526
E3,16/08/2025,15:00,Cambridge,Harrogate,1,1,D,1,0,H,K Dowle,16,4,5,1,9,3,1,1,0,0,,,E3,2526
E3,16/08/2025,15:00,Crewe,Crawley Town,1,0,H,1,0,H,S Stockbridge,13,16,2,4,7,3,4,2,0,0,,,E3,2526
E3,16/08/2025,15:00,Grimsby,Newport County,2,1,H,1,0,H,Z Kennard-Kettle,22,12,6,3,12,3,2,3,0,0,,,E3,2526
E3,16/08/2025,15:00,Milton Keynes Dons,Cheltenham,5,0,H,3,0,H,J Miles,16,9,8,2,3,1,1,4,0,0,,,E3,2526
E3,16/08/2025,15:00,Salford,Accrington,2,1,H,2,0,H,M Corlett,10,12,3,4,5,1,1,1,0,0,,,E3,2526
E3,16/08/2025,15:00,Shrewsbury,Colchester,0,2,A,0,0,D,M Barlow,8,9,1,4,6,1,2,1,1,0,,,E3,2526
E3,16/08/2025,15:00,Tranmere,Gillingham,1,1,D,0,0,D,D Bourne,12,6,2,1,3,4,2,2,0,1,,,E3,2526
E3,19/08/2025,19:30,Newport County,Salford,0,1,A,0,0,D,J Durkin,11,11,2,3,5,3,1,3,0,0,,,E3,2526
E3,19/08/2025,19:45,Bristol Rvs,Oldham,0,0,D,0,0,D,J Oldham,13,10,4,1,4,1,3,2,0,0,,,E3,2526
E3,19/08/2025,19:45,Cheltenham,Bromley,1,2,A,0,1,A,R Massey-Ellis,13,18,6,4,12,7,1,3,0,0,,,E3,2526
E3,19/08/2025,19:45,Colchester,Cambridge,1,2,A,1,2,A,R Eley,9,12,3,4,2,11,2,4,0,0,,,E3,2526
E3,19/08/2025,19:45,Crawley Town,Milton Keynes Dons,1,1,D,1,0,H,S Parkinson,12,15,6,6,8,11,4,1,0,0,,,E3,2526
E3,19/08/2025,19:45,Fleetwood Town,Crewe,1,4,A,0,2,A,T Kirk,9,17,3,10,2,3,6,4,0,0,,,E3,2526
E3,19/08/2025,19:45,Gillingham,Chesterfield,4,1,H,1,0,H,C Hicks,11,7,6,3,0,2,4,1,0,0,,,E3,2526
E3,19/08/2025,19:45,Harrogate,Barrow,1,0,H,1,0,H,J O'Connor,22,17,5,1,4,6,0,0,0,0,,,E3,2526
E3,19/08/2025,19:45,Swindon,Barnet,0,2,A,0,0,D,A Humphries,8,11,4,5,6,8,2,3,0,0,,,E3,2526
E3,19/08/2025,20:00,Walsall,Grimsby,0,1,A,0,0,D,M Corlett,11,15,2,5,4,6,2,2,0,0,,,E3,2526
E3,20/08/2025,19:45,Notts County,Shrewsbury,4,1,H,2,1,H,D Drysdale,11,7,8,2,4,4,3,3,0,0,,,E3,2526
E3,23/08/2025,12:30,Newport County,Milton Keynes Dons,1,2,A,1,1,D,S Morland,10,17,3,4,3,7,1,2,0,0,,,E3,2526
