Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
I1,23/08/2025,17:30,Genoa,Lecce,0,0,D,0,0,D,,5,7,2,0,3,7,2,3,0,0,,,I1,2526
I1,23/08/2025,17:30,Sassuolo,Napoli,0,2,A,0,1,A,,7,13,2,4,1,2,3,1,1,0,,,I1,2526
I1,23/08/2025,19:45,Milan,Cremonese,1,2,A,1,1,D,,24,4,6,3,9,2,1,4,0,0,,,I1,2526
I1,23/08/2025,19:45,Roma,Bologna,1,0,H,0,0,D,,14,10,4,2,2,4,1,1,0,0,,,I1,2526
I1,24/08/2025,17:30,Cagliari,Fiorentina,1,1,D,0,0,D,,14,4,6,1,3,2,4,2,0,0,,,I1,2526
I1,24/08/2025,17:30,Como,Lazio,2,0,H,0,0,D,,19,5,6,1,6,0,2,3,0,0,,,I1,2526
I1,24/08/2025,19:45,Atalanta,Pisa,1,1,D,0,1,A,,21,11,6,2,10,4,2,0,0,0,,,I1,2526
I1,24/08/2025,19:45,Juventus,Parma,2,0,H,0,0,D,,25,8,8,2,6,6,1,2,1,0,,,I1,2526
I1,25/08/2025,17:30,Udinese,Verona,1,1,D,0,0,D,,14,9,4,3,5,1,3,2,0,0,,,I1,2526
I1,25/08/2025,19:45,Inter,Torino,5,0,H,2,0,H,,20,12,9,4,6,5,0,0,0,0,,,I1,2526
I1,29/08/2025,17:30,Cremonese,Sassuolo,3,2,H,2,0,H,,11,9,6,6,5,4,2,2,0,0,,,I1,2526
I1,29/08/2025,19:45,Lecce,Milan,0,2,A,0,0,D,,7,14,2,6,4,5,1,0,0,0,,,I1,2526
I1,30/08/2025,17:30,Bologna,Como,1,0,H,0,0,D,,15,13,2,2,7,4,4,3,0,0,,,I1,2526
I1,30/08/2025,17:30,Parma,Atalanta,1,1,D,0,0,D,,7,11,3,3,1,2,2,2,0,0,,,I1,2526
I1,30/08/2025,19:45,Napoli,Cagliari,1,0,H,0,0,D,,20,10,6,1,13,0,2,1,0,0,,,I1,2526
I1,30/08/2025,19:45,Pisa,Roma,0,1,A,0,0,D,,7,10,3,5,1,7,2,1,0,0,,,I1,2526
I1,31/08/2025,17:30,Genoa,Juventus,0,1,A,0,0,D,,10,13,1,3,3,4,1,2,0,0,,,I1,2526
I1,31/08/2025,17:30,Torino,Fiorentina,0,0,D,0,0,D,,7,16,4,4,7,3,2,2,0,0,,,I1,2526
