Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
SC0,02/08/2025,15:00,Kilmarnock,Livingston,2,2,D,2,0,H,M MacDermid,8,15,2,6,3,5,2,2,1,0,,,SC0,2526
SC0,02/08/2025,17:30,Motherwell,Rangers,1,1,D,0,1,A,S McLean,17,15,5,5,1,12,1,4,0,0,,,SC0,2526
SC0,03/08/2025,14:00,Falkirk,Dundee United,2,2,D,0,1,A,J Beaton,14,11,4,5,2,4,1,5,0,0,,,SC0,2526
SC0,03/08/2025,15:00,Dundee,Hibernian,1,2,A,1,2,A,D Dickinson,2,15,1,5,3,11,3,1,0,0,,,SC0,2526
SC0,03/08/2025,16:30,Celtic,St Mirren,1,0,H,0,0,D,D Robertson,14,4,6,2,12,1,2,1,0,0,,,SC0,2526
SC0,04/08/2025,20:00,Hearts,Aberdeen,2,0,H,1,0,H,N Walsh,13,11,3,1,3,3,3,2,0,0,,,SC0,2526
SC0,09/08/2025,15:00,Livingston,Falkirk,3,1,H,2,0,H,C Graham,8,8,5,3,4,5,4,2,0,0,,,SC0,2526
SC0,09/08/2025,15:00,St Mirren,Motherwell,0,0,D,0,0,D,R Hardie,9,7,4,3,7,4,5,1,0,0,,,SC0,2526
SC0,09/08/2025,17:45,Rangers,Dundee,1,1,D,0,0,D,D Robertson,20,7,5,2,7,4,2,1,1,0,,,SC0,2526
SC0,10/08/2025,12:30,Aberdeen,Celtic,0,2,A,0,1,A,J Beaton,6,13,2,4,1,6,2,3,0,0,,,SC0,2526
SC0,10/08/2025,15:00,Dundee United,Hearts,2,3,A,2,1,H,D Dickinson,13,16,5,8,2,9,3,4,0,0,,,SC0,2526
SC0,10/08/2025,15:00,Hibernian,Kilmarnock,2,2,D,2,1,H,N Walsh,12,10,6,2,4,7,1,2,0,0,,,SC0,2526
SC0,23/08/2025,15:00,Celtic,Livingston,3,0,H,0,0,D,K Clancy,19,6,9,2,10,4,0,1,0,0,,,SC0,2526
