Div,League,Date,Time,HomeTeam,AwayTeam,AvgH,AvgD,AvgA,AvgOver25,AvgUnder25
D1,Bundesliga,18/09/2026,19:30,Bayern Munich,Union Berlin,1.04,16.58,32.77,1.09,7.19
D1,Bundesliga,19/09/2026,14:30,Ein Frankfurt,Freiburg,2.36,3.79,2.62,1.42,2.74
D1,Bundesliga,19/09/2026,14:30,Hamburg,FC Koln,2.64,3.62,2.42,1.57,2.32
D1,Bundesliga,19/09/2026,14:30,M'gladbach,Mainz,2.9,3.65,2.22,1.52,2.44
D1,Bundesliga,19/09/2026,14:30,Werder Bremen,Augsburg,2.27,3.82,2.74,1.41,2.79
D1,Bundesliga,19/09/2026,17:30,Stuttgart,Dortmund,2.36,3.76,2.66,1.38,2.94
D1,Bundesliga,20/09/2026,14:30,Leverkusen,RB Leipzig,1.96,4.03,3.2,1.33,3.15
D1,Bundesliga,20/09/2026,16:30,Schalke 04,Elversberg,2.02,3.66,3.32,1.49,2.52
D1,Bundesliga,20/09/2026,18:30,Paderborn,Hoffenheim,4.31,4.34,1.65,1.4,2.86
E0,Premier League,18/09/2026,20:00,Brentford,Chelsea,2.62,3.7,2.48,1.48,2.59
E0,Premier League,19/09/2026,12:30,Tottenham,Aston Villa,1.99,3.59,3.62,1.78,1.98
E0,Premier League,19/09/2026,15:00,Brighton,Arsenal,4.77,3.89,1.68,1.71,2.06
E0,Premier League,19/09/2026,15:00,Everton,Ipswich,1.76,3.79,4.36,1.7,2.08
E0,Premier League,19/09/2026,15:00,Newcastle,Hull,1.58,4.26,5.1,1.59,2.27
E0,Premier League,19/09/2026,17:30,Nott'm Forest,Coventry,1.58,4.02,5.54,1.75,2.01
E0,Premier League,20/09/2026,14:00,Bournemouth,Liverpool,3.05,3.78,2.13,1.52,2.53
E0,Premier League,20/09/2026,14:00,Leeds,Crystal Palace,1.74,3.79,4.49,1.73,2.03
E0,Premier League,20/09/2026,14:00,Man City,Sunderland,1.29,5.56,9.39,1.56,2.32
E0,Premier League,20/09/2026,16:30,Fulham,Man United,3.36,3.71,2,1.55,2.35
E1,Championship,18/09/2026,20:00,Bristol City,Watford,1.74,3.85,4.41,1.72,2.04
E1,Championship,19/09/2026,12:30,Cardiff,Charlton,1.79,3.9,4.01,1.62,2.22
E1,Championship,19/09/2026,12:30,Millwall,West Ham,4.02,3.88,1.79,1.57,2.31
E1,Championship,19/09/2026,12:30,Stoke,Sheffield United,2.39,3.39,2.84,1.84,1.89
E1,Championship,19/09/2026,15:00,Birmingham,Middlesbrough,2.85,3.58,2.29,1.65,2.14
E1,Championship,19/09/2026,15:00,Burnley,Derby,1.79,3.68,4.21,1.82,1.92
E1,Championship,19/09/2026,15:00,Lincoln,Swansea,2.79,3.36,2.43,1.88,1.84
E1,Championship,19/09/2026,15:00,Portsmouth,Blackburn,2.08,3.39,3.44,1.99,1.76
E1,Championship,19/09/2026,15:00,QPR,Preston,1.72,3.79,4.53,1.78,1.96
E1,Championship,19/09/2026,15:00,Wrexham,Southampton,2.91,3.52,2.28,1.75,2.01
E1,Championship,20/09/2026,12:00,Wolves,West Brom,1.81,3.63,4.25,1.84,1.9
E1,Championship,20/09/2026,13:30,Norwich,Bolton,1.52,4.44,5.39,1.51,2.44
E2,League One,19/09/2026,12:30,Barnsley,Leicester,3.17,3.83,2.04,1.45,2.61
E2,League One,19/09/2026,12:30,Burton,Mansfield,2.5,3.42,2.65,1.85,1.88
E2,League One,19/09/2026,15:00,Blackpool,Plymouth,2.63,3.62,2.4,1.6,2.23
E2,League One,19/09/2026,15:00,Bromley,Huddersfield,5.19,4.04,1.58,1.68,2.09
E2,League One,19/09/2026,15:00,Leyton Orient,Stevenage,2.32,3.23,3.03,2.11,1.66
E2,League One,19/09/2026,15:00,Luton,Bradford,2.08,3.49,3.3,1.83,1.91
E2,League One,19/09/2026,15:00,Oxford,Cambridge,2.11,3.44,3.26,1.87,1.86
