season,week,game_id,team,opponent,venue,points_for,points_against,passing_tds_for,passing_tds_against,rushing_tds_for,rushing_tds_against
2025,1,2025_01_ARI_NO,ARI,NO,A,20.0,13.0,2,0,0,1
2025,1,2025_01_ARI_NO,NO,ARI,H,13.0,20.0,0,2,1,0
2025,1,2025_01_TB_ATL,ATL,TB,H,20.0,23.0,1,3,1,0
2025,1,2025_01_TB_ATL,TB,ATL,A,23.0,20.0,3,1,0,1
2025,1,2025_01_BAL_BUF,BAL,BUF,A,40.0,41.0,2,2,3,3
2025,1,2025_01_BAL_BUF,BUF,BAL,H,41.0,40.0,2,2,3,3
2025,1,2025_01_CAR_JAX,CAR,JAX,A,10.0,26.0,1,1,0,1
2025,1,2025_01_CAR_JAX,JAX,CAR,H,26.0,10.0,1,1,1,0
2025,1,2025_01_MIN_CHI,CHI,MIN,H,24.0,27.0,1,2,1,1
2025,1,2025_01_MIN_CHI,MIN,CHI,A,27.0,24.0,2,1,1,1
2025,1,2025_01_CIN_CLE,CIN,CLE,A,17.0,16.0,1,1,1,1
2025,1,2025_01_CIN_CLE,CLE,CIN,H,16.0,17.0,1,1,1,1
2025,1,2025_01_DAL_PHI,DAL,PHI,A,20.0,24.0,0,0,2,3
2025,1,2025_01_DAL_PHI,PHI,DAL,H,24.0,20.0,0,0,3,2
2025,1,2025_01_TEN_DEN,DEN,TEN,H,20.0,12.0,1,0,1,0
2025,1,2025_01_TEN_DEN,TEN,DEN,A,12.0,20.0,0,1,0,1
2025,1,2025_01_DET_GB,DET,GB,A,13.0,27.0,1,2,0,1
2025,1,2025_01_DET_GB,GB,DET,H,27.0,13.0,2,1,1,0
2025,1,2025_01_HOU_LA,HOU,LA,A,9.0,14.0,0,1,0,1
2025,1,2025_01_HOU_LA,LA,HOU,H,14.0,9.0,1,0,1,0
2025,1,2025_01_MIA_IND,IND,MIA,H,33.0,8.0,1,1,2,0
2025,1,2025_01_MIA_IND,MIA,IND,A,8.0,33.0,1,1,0,2
2025,1,2025_01_KC_LAC,KC,LAC,A,21.0,27.0,1,3,1,0
2025,1,2025_01_KC_LAC,LAC,KC,H,27.0,21.0,3,1,0,1
2025,1,2025_01_LV_NE,LV,NE,A,20.0,13.0,1,1,1,0
2025,1,2025_01_LV_NE,NE,LV,H,13.0,20.0,1,1,0,1
2025,1,2025_01_NYG_WAS,NYG,WAS,A,6.0,21.0,0,1,0,2
2025,1,2025_01_NYG_WAS,WAS,NYG,H,21.0,6.0,1,0,2,0
2025,1,2025_01_PIT_NYJ,NYJ,PIT,H,32.0,34.0,1,4,3,0
2025,1,2025_01_PIT_NYJ,PIT,NYJ,A,34.0,32.0,4,1,0,3
2025,1,2025_01_SF_SEA,SEA,SF,H,13.0,17.0,0,2,1,0
2025,1,2025_01_SF_SEA,SF,SEA,A,17.0,13.0,2,0,0,1
2025,2,2025_02_CAR_ARI,ARI,CAR,H,27.0,22.0,1,3,1,0
2025,2,2025_02_CAR_ARI,CAR,ARI,A,22.0,27.0,3,1,0,1
2025,2,2025_02_ATL_MIN,ATL,MIN,A,22.0,6.0,0,0,1,0
2025,2,2025_02_ATL_MIN,MIN,ATL,H,6.0,22.0,0,0,0,1
2025,2,2025_02_CLE_BAL,BAL,CLE,H,41.0,17.0,4,2,0,0
2025,2,2025_02_CLE_BAL,CLE,BAL,A,17.0,41.0,2,4,0,0
2025,2,2025_02_BUF_NYJ,BUF,NYJ,A,30.0,10.0,0,1,3,0
2025,2,2025_02_BUF_NYJ,NYJ,BUF,H,10.0,30.0,1,0,0,3
2025,2,2025_02_CHI_DET,CHI,DET,A,21.0,52.0,2,5,1,2
2025,2,2025_02_CHI_DET,DET,CHI,H,52.0,21.0,5,2,2,1
2025,2,2025_02_JAX_CIN,CIN,JAX,H,31.0,27.0,3,3,1,0
2025,2,2025_02_JAX_CIN,JAX,CIN,A,27.0,31.0,3,3,0,1
2025,2,2025_02_NYG_DAL,DAL,NYG,H,40.0,37.0,2,3,2,1
2025,2,2025_02_NYG_DAL,NYG,DAL,A,37.0,40.0,3,2,1,2
2025,2,2025_02_DEN_IND,DEN,IND,A,28.0,29.0,3,1,1,1
2025,2,2025_02_DEN_IND,IND,DEN,H,29.0,28.0,1,3,1,1
2025,2,2025_02_WAS_GB,GB,WAS,H,27.0,18.0,2,2,1,0
2025,2,2025_02_WAS_GB,WAS,GB,A,18.0,27.0,2,2,0,1
2025,2,2025_02_TB_HOU,HOU,TB,H,19.0,20.0,1,2,1,1
2025,2,2025_02_TB_HOU,TB,HOU,A,20.0,19.0,2,1,1,1
2025,2,2025_02_PHI_KC,KC,PHI,H,17.0,20.0,1,0,1,2
2025,2,2025_02_PHI_KC,PHI,KC,A,20.0,17.0,0,1,2,1
2025,2,2025_02_LA_TEN,LA,TEN,A,33.0,19.0,2,1,2,0
2025,2,2025_02_LA_TEN,TEN,LA,H,19.0,33.0,1,2,0,2
2025,2,2025_02_LAC_LV,LAC,LV,A,20.0,9.0,2,0,0,0
2025,2,2025_02_LAC_LV,LV,LAC,H,9.0,20.0,0,2,0,0
2025,2,2025_02_NE_MIA,MIA,NE,H,27.0,33.0,2,2,0,1
2025,2,2025_02_NE_MIA,NE,MIA,A,33.0,27.0,2,2,1,0
2025,2,2025_02_SF_NO,NO,SF,H,21.0,26.0,3,3,0,0
2025,2,2025_02_SF_NO,SF,NO,A,26.0,21.0,3,3,0,0
2025,2,2025_02_SEA_PIT,PIT,SEA,H,17.0,31.0,1,2,0,1
2025,2,2025_02_SEA_PIT,SEA,PIT,A,31.0,17.0,2,1,1,0
2025,3,2025_03_ARI_SF,ARI,SF,A,15.0,16.0,1,1,0,0
2025,3,2025_03_ARI_SF,SF,ARI,H,16.0,15.0,1,1,0,0
2025,3,2025_03_ATL_CAR,ATL,CAR,A,0.0,30.0,0,0,0,2
2025,3,2025_03_ATL_CAR,CAR,ATL,H,30.0,0.0,0,0,2,0
2025,3,2025_03_DET_BAL,BAL,DET,H,30.0,38.0,3,1,1,4
2025,3,2025_03_DET_BAL,DET,BAL,A,38.0,30.0,1,3,4,1
2025,3,2025_03_MIA_BUF,BUF,MIA,H,31.0,21.0,3,2,1,1
2025,3,2025_03_MIA_BUF,MIA,BUF,A,21.0,31.0,2,3,1,1
2025,3,2025_03_DAL_CHI,CHI,DAL,H,31.0,14.0,4,1,0,0
2025,3,2025_03_DAL_CHI,DAL,CHI,A,14.0,31.0,1,4,0,0
2025,3,2025_03_CIN_MIN,CIN,MIN,A,10.0,48.0,1,2,0,2
2025,3,2025_03_CIN_MIN,MIN,CIN,H,48.0,10.0,2,1,2,0
2025,3,2025_03_GB_CLE,CLE,GB,H,13.0,10.0,0,1,1,0
2025,3,2025_03_GB_CLE,GB,CLE,A,10.0,13.0,1,0,0,1
2025,3,2025_03_DEN_LAC,DEN,LAC,A,20.0,23.0,1,1,1,1
2025,3,2025_03_DEN_LAC,LAC,DEN,H,23.0,20.0,1,1,1,1
2025,3,2025_03_HOU_JAX,HOU,JAX,A,10.0,17.0,1,0,0,2
2025,3,2025_03_HOU_JAX,JAX,HOU,H,17.0,10.0,0,1,2,0
2025,3,2025_03_IND_TEN,IND,TEN,A,41.0,20.0,1,1,3,1
2025,3,2025_03_IND_TEN,TEN,IND,H,20.0,41.0,1,1,1,3
2025,3,2025_03_KC_NYG,KC,NYG,A,22.0,9.0,1,0,1,1
2025,3,2025_03_KC_NYG,NYG,KC,H,9.0,22.0,0,1,1,1
2025,3,2025_03_LA_PHI,LA,PHI,A,26.0,33.0,2,3,0,1
2025,3,2025_03_LA_PHI,PHI,LA,H,33.0,26.0,3,2,1,0
2025,3,2025_03_LV_WAS,LV,WAS,A,24.0,41.0,3,1,0,3
2025,3,2025_03_LV_WAS,WAS,LV,H,41.0,24.0,1,3,3,0
2025,3,2025_03_PIT_NE,NE,PIT,H,14.0,21.0,2,2,0,1
2025,3,2025_03_PIT_NE,PIT,NE,A,21.0,14.0,2,2,1,0
2025,3,2025_03_NO_SEA,NO,SEA,A,13.0,44.0,1,2,0,2
2025,3,2025_03_NO_SEA,SEA,NO,H,44.0,13.0,2,1,2,0
2025,3,2025_03_NYJ_TB,NYJ,TB,A,27.0,29.0,2,1,0,0
2025,3,2025_03_NYJ_TB,TB,NYJ,H,29.0,27.0,1,2,0,0
2025,4,2025_04_SEA_ARI,ARI,SEA,H,20.0,23.0,2,1,0,1
2025,4,2025_04_SEA_ARI,SEA,ARI,A,23.0,20.0,1,2,1,0
2025,4,2025_04_WAS_ATL,ATL,WAS,H,34.0,27.0,2,2,2,0
2025,4,2025_04_WAS_ATL,WAS,ATL,A,27.0,34.0,2,2,0,2
2025,4,2025_04_BAL_KC,BAL,KC,A,20.0,37.0,1,4,1,0
2025,4,2025_04_BAL_KC,KC,BAL,H,37.0,20.0,4,1,0,1
2025,4,2025_04_NO_BUF,BUF,NO,H,31.0,19.0,2,1,2,1
2025,4,2025_04_NO_BUF,NO,BUF,A,19.0,31.0,1,2,1,2
2025,4,2025_04_CAR_NE,CAR,NE,A,13.0,42.0,2,2,0,3
2025,4,2025_04_CAR_NE,NE,CAR,H,42.0,13.0,2,2,3,0
2025,4,2025_04_CHI_LV,CHI,LV,A,25.0,24.0,1,2,1,1
2025,4,2025_04_CHI_LV,LV,CHI,H,24.0,25.0,2,1,1,1
2025,4,2025_04_CIN_DEN,CIN,DEN,A,3.0,28.0,0,2,0,2
