Round Number,Date,Location,Home Team,Away Team,Result
1,22/08/2026 16:30,Giuseppe Meazza,Internazionale,Monza,4 - 1
1,22/08/2026 16:30,Friuli/Bluenergy stadium,Udinese,Como,1 - 1
1,22/08/2026 18:45,Luigi Ferraris,Genoa,Napoli,0 - 2
1,22/08/2026 18:45,Ennio Tardini,Parma,Cagliari,0 - 1
1,23/08/2026 16:30,Benito Stirpe,Frosinone,Juventus,0 - 1
1,23/08/2026 16:30,Pier Luigi Penzo,Venezia,Lecce,0 - 2
1,23/08/2026 18:45,New Balance Arena,Atalanta,Sassuolo,2 - 1
1,23/08/2026 18:45,Olimpico - Grande Torino,Torino,Milan,1 - 2
1,24/08/2026 16:30,Renato Dall'Ara,Bologna,Lazio,0 - 1
1,24/08/2026 18:45,Olimpico,Roma,Fiorentina,4 - 0
2,28/08/2026 18:45,Giuseppe Meazza,Milan,Venezia,
2,29/08/2026 16:30,Artemio Franchi,Fiorentina,Frosinone,
2,29/08/2026 16:30,Brianteo,Monza,Udinese,
2,29/08/2026 16:30,Mapei Stadium,Sassuolo,Torino,
2,29/08/2026 18:45,Allianz Stadium,Juventus,Parma,
2,30/08/2026 16:30,Diego Armando Maradona,Napoli,Como,
2,30/08/2026 18:45,Unipol Domus,Cagliari,Internazionale,
2,30/08/2026 18:45,Olimpico,Lazio,Genoa,
2,31/08/2026 16:30,Ettore Giardiniero - Via Del Mare,Lecce,Roma,
2,31/08/2026 18:45,New Balance Arena,Atalanta,Bologna,
3,04/09/2026 18:45,Luigi Ferraris,Genoa,Como,
3,05/09/2026 13:00,Artemio Franchi,Fiorentina,Torino,
3,05/09/2026 16:00,Giuseppe Meazza,Internazionale,Napoli,
3,05/09/2026 18:45,Olimpico,Roma,Atalanta,
3,06/09/2026 13:00,Benito Stirpe,Frosinone,Venezia,
3,06/09/2026 13:00,Ennio Tardini,Parma,Monza,
3,06/09/2026 16:00,Renato Dall'Ara,Bologna,Sassuolo,
3,06/09/2026 18:45,Allianz Stadium,Juventus,Milan,
3,07/09/2026 16:00,Unipol Domus,Cagliari,Lecce,
3,07/09/2026 18:45,Friuli/Bluenergy stadium,Udinese,Lazio,
4,11/09/2026 18:45,Pier Luigi Penzo,Venezia,Fiorentina,
4,12/09/2026 00:00,Mapei Stadium,Sassuolo,Juventus,
4,12/09/2026 13:00,Luigi Ferraris,Genoa,Frosinone,
4,12/09/2026 18:45,New Balance Arena,Atalanta,Cagliari,
4,13/09/2026 00:00,Giuseppe Sinigaglia,Como,Parma,
4,13/09/2026 00:00,Olimpico,Lazio,Milan,
4,13/09/2026 00:00,Olimpico - Grande Torino,Torino,Roma,
4,13/09/2026 13:00,Ettore Giardiniero - Via Del Mare,Lecce,Monza,
4,13/09/2026 16:00,Diego Armando Maradona,Napoli,Bologna,
4,14/09/2026 18:45,Giuseppe Meazza,Internazionale,Udinese,
5,18/09/2026 18:45,Brianteo,Monza,Sassuolo,
5,19/09/2026 13:00,Renato Dall'Ara,Bologna,Torino,
5,19/09/2026 13:00,Friuli/Bluenergy stadium,Udinese,Cagliari,
5,19/09/2026 16:00,Olimpico,Roma,Internazionale,
5,19/09/2026 18:45,Pier Luigi Penzo,Venezia,Lazio,
5,20/09/2026 10:30,Artemio Franchi,Fiorentina,Napoli,
5,20/09/2026 13:00,Benito Stirpe,Frosinone,Como,
5,20/09/2026 13:00,Ennio Tardini,Parma,Genoa,
5,20/09/2026 16:00,Allianz Stadium,Juventus,Atalanta,
5,20/09/2026 18:45,Giuseppe Meazza,Milan,Lecce,
6,10/10/2026 00:00,New Balance Arena,Atalanta,Venezia,
6,10/10/2026 00:00,Unipol Domus,Cagliari,Juventus,
6,10/10/2026 00:00,Giuseppe Sinigaglia,Como,Roma,
6,10/10/2026 00:00,Luigi Ferraris,Genoa,Fiorentina,
6,10/10/2026 00:00,Giuseppe Meazza,Internazionale,Parma,
6,10/10/2026 00:00,Olimpico,Lazio,Monza,
6,10/10/2026 00:00,Ettore Giardiniero - Via Del Mare,Lecce,Bologna,
6,10/10/2026 00:00,Diego Armando Maradona,Napoli,Frosinone,
6,10/10/2026 00:00,Mapei Stadium,Sassuolo,Milan,
6,10/10/2026 00:00,Olimpico - Grande Torino,Torino,Udinese,
7,17/10/2026 00:00,Renato Dall'Ara,Bologna,Internazionale,
7,17/10/2026 00:00,Artemio Franchi,Fiorentina,Como,
7,17/10/2026 00:00,Benito Stirpe,Frosinone,Sassuolo,
7,17/10/2026 00:00,Allianz Stadium,Juventus,Lazio,
7,17/10/2026 00:00,Giuseppe Meazza,Milan,Atalanta,
7,17/10/2026 00:00,Brianteo,Monza,Cagliari,
7,17/10/2026 00:00,Ennio Tardini,Parma,Torino,
7,17/10/2026 00:00,Olimpico,Roma,Genoa,
7,17/10/2026 00:00,Friuli/Bluenergy stadium,Udinese,Lecce,
7,17/10/2026 00:00,Pier Luigi Penzo,Venezia,Napoli,
8,24/10/2026 00:00,New Balance Arena,Atalanta,Frosinone,
8,24/10/2026 00:00,Unipol Domus,Cagliari,Bologna,
8,24/10/2026 00:00,Giuseppe Sinigaglia,Como,Sassuolo,
8,24/10/2026 00:00,Luigi Ferraris,Genoa,Venezia,
8,24/10/2026 00:00,Giuseppe Meazza,Internazionale,Fiorentina,
8,24/10/2026 00:00,Olimpico,Lazio,Parma,
8,24/10/2026 00:00,Ettore Giardiniero - Via Del Mare,Lecce,Juventus,
8,24/10/2026 00:00,Diego Armando Maradona,Napoli,Roma,
8,24/10/2026 00:00,Olimpico - Grande Torino,Torino,Monza,
8,24/10/2026 00:00,Friuli/Bluenergy stadium,Udinese,Milan,
9,27/10/2026 00:00,Artemio Franchi,Fiorentina,Atalanta,
9,27/10/2026 00:00,Benito Stirpe,Frosinone,Lecce,
9,27/10/2026 00:00,Luigi Ferraris,Genoa,Juventus,
9,27/10/2026 00:00,Giuseppe Meazza,Milan,Bologna,
9,27/10/2026 00:00,Brianteo,Monza,Napoli,
