Round Number,Date,Location,Home Team,Away Team,Result
1,31/07/2026 19:00,CalForth Construction Arena at Tannadice Park,Dundee United,Rangers,1 - 1
1,01/08/2026 14:00,The Falkirk Stadium,Falkirk,St. Mirren,0 - 2
1,01/08/2026 16:30,Pittodrie Stadium,Aberdeen,Heart of Midlothian,2 - 1
1,02/08/2026 13:00,McDiarmid Park,St. Johnstone,Kilmarnock,4 - 3
1,02/08/2026 15:30,Easter Road Stadium,Hibernian,Motherwell,1 - 2
1,03/08/2026 18:30,Celtic Park,Celtic,Dundee,1 - 0
2,08/08/2026 14:00,Dens Park,Dundee,Aberdeen,2 - 0
2,08/08/2026 14:00,The Marbill Coaches Stadium,St. Mirren,St. Johnstone,1 - 0
2,09/08/2026 12:30,The BBSP Stadium Rugby Park,Kilmarnock,Celtic,1 - 5
2,09/08/2026 14:00,Tynecastle Park,Heart of Midlothian,Dundee United,4 - 0
2,09/08/2026 14:00,Fir Park,Motherwell,Falkirk,0 - 0
2,09/08/2026 15:00,Ibrox Stadium,Rangers,Hibernian,1 - 2
3,22/08/2026 16:45,CalForth Construction Arena at Tannadice Park,Dundee United,Dundee,0 - 2
3,09/09/2026 18:45,Ibrox Stadium,Rangers,St. Mirren,
3,09/09/2026 19:00,McDiarmid Park,St. Johnstone,Celtic,
3,15/09/2026 18:45,The Falkirk Stadium,Falkirk,Heart of Midlothian,
3,15/09/2026 18:45,Easter Road Stadium,Hibernian,Kilmarnock,
3,15/09/2026 18:45,Fir Park,Motherwell,Aberdeen,
4,29/08/2026 14:00,Celtic Park,Celtic,Falkirk,2 - 1
4,29/08/2026 14:00,Tynecastle Park,Heart of Midlothian,St. Johnstone,2 - 1
4,29/08/2026 14:00,The BBSP Stadium Rugby Park,Kilmarnock,Dundee United,0 - 4
4,30/08/2026 11:00,Pittodrie Stadium,Aberdeen,Rangers,0 - 1
4,30/08/2026 14:00,Dens Park,Dundee,Hibernian,1 - 2
4,30/08/2026 14:00,The Marbill Coaches Stadium,St. Mirren,Motherwell,3 - 3
5,02/09/2026 18:45,Celtic Park,Celtic,Aberdeen,3 - 0
5,02/09/2026 18:45,Dens Park,Dundee,St. Johnstone,1 - 1
5,02/09/2026 18:45,The BBSP Stadium Rugby Park,Kilmarnock,St. Mirren,0 - 1
5,02/09/2026 18:45,Fir Park,Motherwell,Dundee United,3 - 0
5,02/09/2026 19:00,The Falkirk Stadium,Falkirk,Rangers,1 - 2
5,03/09/2026 18:45,Easter Road Stadium,Hibernian,Heart of Midlothian,
6,05/09/2026 14:00,Pittodrie Stadium,Aberdeen,Kilmarnock,
6,05/09/2026 14:00,CalForth Construction Arena at Tannadice Park,Dundee United,Falkirk,
6,05/09/2026 14:00,Ibrox Stadium,Rangers,Motherwell,
6,05/09/2026 19:00,The Marbill Coaches Stadium,St. Mirren,Celtic,
